No.	image_file	question	category	l2-category	bbox	index	multi-choice options	answer				
1	40018272732_9a3974ab8c_o.jpg	What is the position of the outdoor tables in relation to the woman standing near the stream?	SR	Os	"[{""bbox_2d"": [5859, 2022, 5926, 2196],""label"": ""woman standing near the stream""},{""bbox_2d"": [246, 1903, 386, 1997],""label"": ""outdoor tables""}]"	#1	['A. They are behind the woman.', 'B. They are far from the woman.', 'C. They are to the left of the woman.', 'D. They are to the right of the woman.']	A				
2	40018272732_9a3974ab8c_o.jpg	What is the position of the outdoor tables in relation to the woman standing near the stream?	SR	Os	"[{""bbox_2d"": [5859, 2022, 5926, 2196],""label"": ""woman standing near the stream""},{""bbox_2d"": [246, 1903, 386, 1997],""label"": ""outdoor tables""}]"	#2	['A. They are to the right of the woman.', 'B. They are behind the woman.', 'C. They are far from the woman.', 'D. They are to the left of the woman.']	B				
3	40018272732_9a3974ab8c_o.jpg	What is the position of the outdoor tables in relation to the woman standing near the stream?	SR	Os	"[{""bbox_2d"": [5859, 2022, 5926, 2196],""label"": ""woman standing near the stream""},{""bbox_2d"": [246, 1903, 386, 1997],""label"": ""outdoor tables""}]"	#3	['A. They are to the left of the woman.', 'B. They are to the right of the woman.', 'C. They are behind the woman.', 'D. They are far from the woman.']	C				
4	40018272732_9a3974ab8c_o.jpg	What is the position of the outdoor tables in relation to the woman standing near the stream?	SR	Os	"[{""bbox_2d"": [5859, 2022, 5926, 2196],""label"": ""woman standing near the stream""},{""bbox_2d"": [246, 1903, 386, 1997],""label"": ""outdoor tables""}]"	#4	['A. They are far from the woman.', 'B. They are to the left of the woman.', 'C. They are to the right of the woman.', 'D. They are behind the woman.']	D				
5	51693114608_b0c5f0c113_o.jpg	How is the INDUSTRIA ITALIANA store positioned in relation to the LAVORI IN LEGNO store?	SR	Os	"[{""bbox_2d"": [6507, 1578, 7291, 2549],""label"": ""LAVORI IN LEGNO""},{""bbox_2d"": [541, 1723, 937, 2371],""label"": ""INDUSTRIA ITALIANA""}]"	#5	['A. They are next to each other', 'B. They are opposite each other', 'C. They are far apart', 'D. They are at opposite ends of the street']	A				
6	51693114608_b0c5f0c113_o.jpg	How is the INDUSTRIA ITALIANA store positioned in relation to the LAVORI IN LEGNO store?	SR	Os	"[{""bbox_2d"": [6507, 1578, 7291, 2549],""label"": ""LAVORI IN LEGNO""},{""bbox_2d"": [541, 1723, 937, 2371],""label"": ""INDUSTRIA ITALIANA""}]"	#6	['A. They are at opposite ends of the street', 'B. They are next to each other', 'C. They are opposite each other', 'D. They are far apart']	B				
7	51693114608_b0c5f0c113_o.jpg	How is the INDUSTRIA ITALIANA store positioned in relation to the LAVORI IN LEGNO store?	SR	Os	"[{""bbox_2d"": [6507, 1578, 7291, 2549],""label"": ""LAVORI IN LEGNO""},{""bbox_2d"": [541, 1723, 937, 2371],""label"": ""INDUSTRIA ITALIANA""}]"	#7	['A. They are far apart', 'B. They are at opposite ends of the street', 'C. They are next to each other', 'D. They are opposite each other']	C				
8	51693114608_b0c5f0c113_o.jpg	How is the INDUSTRIA ITALIANA store positioned in relation to the LAVORI IN LEGNO store?	SR	Os	"[{""bbox_2d"": [6507, 1578, 7291, 2549],""label"": ""LAVORI IN LEGNO""},{""bbox_2d"": [541, 1723, 937, 2371],""label"": ""INDUSTRIA ITALIANA""}]"	#8	['A. They are opposite each other', 'B. They are far apart', 'C. They are at opposite ends of the street', 'D. They are next to each other']	D				
9	52094650750_86211fab59_o.jpg	How is Room 243 positioned relative to Room 242?	SR	Os	"[{""bbox_2d"": [5054, 1471, 5175, 1552],""label"": ""Room 243""},{""bbox_2d"": [6090, 1502, 6187, 1576],""label"": ""Room 242""}]"	#9	['A. Room 243 is to the left of Room 242', 'B. Room 243 is to the right of Room 242', 'C. Room 243 is opposite Room 242', 'D. Room 243 is at a right angle to Room 242']	A				
10	52094650750_86211fab59_o.jpg	How is Room 243 positioned relative to Room 242?	SR	Os	"[{""bbox_2d"": [5054, 1471, 5175, 1552],""label"": ""Room 243""},{""bbox_2d"": [6090, 1502, 6187, 1576],""label"": ""Room 242""}]"	#10	['A. Room 243 is at a right angle to Room 242', 'B. Room 243 is to the left of Room 242', 'C. Room 243 is to the right of Room 242', 'D. Room 243 is opposite Room 242']	B				
11	52094650750_86211fab59_o.jpg	How is Room 243 positioned relative to Room 242?	SR	Os	"[{""bbox_2d"": [5054, 1471, 5175, 1552],""label"": ""Room 243""},{""bbox_2d"": [6090, 1502, 6187, 1576],""label"": ""Room 242""}]"	#11	['A. Room 243 is opposite Room 242', 'B. Room 243 is at a right angle to Room 242', 'C. Room 243 is to the left of Room 242', 'D. Room 243 is to the right of Room 242']	C				
12	52094650750_86211fab59_o.jpg	How is Room 243 positioned relative to Room 242?	SR	Os	"[{""bbox_2d"": [5054, 1471, 5175, 1552],""label"": ""Room 243""},{""bbox_2d"": [6090, 1502, 6187, 1576],""label"": ""Room 242""}]"	#12	['A. Room 243 is to the right of Room 242', 'B. Room 243 is opposite Room 242', 'C. Room 243 is at a right angle to Room 242', 'D. Room 243 is to the left of Room 242']	D				
13	52122437265_27ec90ab91_o.jpg	What is the relative position of the two windows in this room?	SR	Os	"[{""bbox_2d"": [1386, 2008, 1846, 2341],""label"": ""window""},{""bbox_2d"": [5319, 1962, 5754, 2266],""label"": ""window""}]"	#13	['A. Opposite each other', 'B. At a right angle', 'C. Next to each other', 'D. At opposite ends of the same wall']	A				
14	52122437265_27ec90ab91_o.jpg	What is the relative position of the two windows in this room?	SR	Os	"[{""bbox_2d"": [1386, 2008, 1846, 2341],""label"": ""window""},{""bbox_2d"": [5319, 1962, 5754, 2266],""label"": ""window""}]"	#14	['A. At opposite ends of the same wall', 'B. Opposite each other', 'C. At a right angle', 'D. Next to each other']	B				
15	52122437265_27ec90ab91_o.jpg	What is the relative position of the two windows in this room?	SR	Os	"[{""bbox_2d"": [1386, 2008, 1846, 2341],""label"": ""window""},{""bbox_2d"": [5319, 1962, 5754, 2266],""label"": ""window""}]"	#15	['A. Next to each other', 'B. At opposite ends of the same wall', 'C. Opposite each other', 'D. At a right angle']	C				
16	52122437265_27ec90ab91_o.jpg	What is the relative position of the two windows in this room?	SR	Os	"[{""bbox_2d"": [1386, 2008, 1846, 2341],""label"": ""window""},{""bbox_2d"": [5319, 1962, 5754, 2266],""label"": ""window""}]"	#16	['A. At a right angle', 'B. Next to each other', 'C. At opposite ends of the same wall', 'D. Opposite each other']	D				
17	52122437265_27ec90ab91_o.jpg	How are the two entrances to this room positioned relative to each other?	SR	Os	"[{""bbox_2d"": [0, 1790, 182, 2402],""label"": ""entrance""},{""bbox_2d"": [3393, 1720, 3787, 2250],""label"": ""entrance""},{""bbox_2d"": [6942, 1811, 7295, 2417],""label"": ""entrance""}]"	#17	['A. They are opposite each other.', 'B. They are next to each other.', 'C. They are at opposite ends of the same wall.', 'D. They are at right angles to each other.']	A				
18	52122437265_27ec90ab91_o.jpg	How are the two entrances to this room positioned relative to each other?	SR	Os	"[{""bbox_2d"": [0, 1790, 182, 2402],""label"": ""entrance""},{""bbox_2d"": [3393, 1720, 3787, 2250],""label"": ""entrance""},{""bbox_2d"": [6942, 1811, 7295, 2417],""label"": ""entrance""}]"	#18	['A. They are at right angles to each other.', 'B. They are opposite each other.', 'C. They are next to each other.', 'D. They are at opposite ends of the same wall.']	B				
19	52122437265_27ec90ab91_o.jpg	How are the two entrances to this room positioned relative to each other?	SR	Os	"[{""bbox_2d"": [0, 1790, 182, 2402],""label"": ""entrance""},{""bbox_2d"": [3393, 1720, 3787, 2250],""label"": ""entrance""},{""bbox_2d"": [6942, 1811, 7295, 2417],""label"": ""entrance""}]"	#19	['A. They are at opposite ends of the same wall.', 'B. They are at right angles to each other.', 'C. They are opposite each other.', 'D. They are next to each other.']	C				
20	52122437265_27ec90ab91_o.jpg	How are the two entrances to this room positioned relative to each other?	SR	Os	"[{""bbox_2d"": [0, 1790, 182, 2402],""label"": ""entrance""},{""bbox_2d"": [3393, 1720, 3787, 2250],""label"": ""entrance""},{""bbox_2d"": [6942, 1811, 7295, 2417],""label"": ""entrance""}]"	#20	['A. They are next to each other.', 'B. They are at opposite ends of the same wall.', 'C. They are at right angles to each other.', 'D. They are opposite each other.']	D				
21	53709983468_3455bcdb14_o.jpg	What is the relative position of the man wearing a white cap and black backpack to the child wearing a gray cap?	SR	Os	"[{""bbox_2d"": [6700, 2250, 7151, 2892],""label"": ""man wearing a white cap and black backpack""},{""bbox_2d"": [328, 2074, 441, 2416],""label"": ""child wearing a gray cap""}]"	#21	['A. He is walking behind the child', 'B. He is walking in front of the child', 'C. He is walking to the left of the child', 'D. He is walking to the right of the child']	A				
22	53709983468_3455bcdb14_o.jpg	What is the relative position of the man wearing a white cap and black backpack to the child wearing a gray cap?	SR	Os	"[{""bbox_2d"": [6700, 2250, 7151, 2892],""label"": ""man wearing a white cap and black backpack""},{""bbox_2d"": [328, 2074, 441, 2416],""label"": ""child wearing a gray cap""}]"	#22	['A. He is walking to the right of the child', 'B. He is walking behind the child', 'C. He is walking in front of the child', 'D. He is walking to the left of the child']	B				
23	53709983468_3455bcdb14_o.jpg	What is the relative position of the man wearing a white cap and black backpack to the child wearing a gray cap?	SR	Os	"[{""bbox_2d"": [6700, 2250, 7151, 2892],""label"": ""man wearing a white cap and black backpack""},{""bbox_2d"": [328, 2074, 441, 2416],""label"": ""child wearing a gray cap""}]"	#23	['A. He is walking to the left of the child', 'B. He is walking to the right of the child', 'C. He is walking behind the child', 'D. He is walking in front of the child']	C				
24	53709983468_3455bcdb14_o.jpg	What is the relative position of the man wearing a white cap and black backpack to the child wearing a gray cap?	SR	Os	"[{""bbox_2d"": [6700, 2250, 7151, 2892],""label"": ""man wearing a white cap and black backpack""},{""bbox_2d"": [328, 2074, 441, 2416],""label"": ""child wearing a gray cap""}]"	#24	['A. He is walking in front of the child', 'B. He is walking to the left of the child', 'C. He is walking to the right of the child', 'D. He is walking behind the child']	D				
25	54230380799_f52e071877_o.jpg	What is in front of the black cars?	SR	Os	"[{""bbox_2d"": [206, 1951, 1675, 2240],""label"": ""in front of the black cars""}]"	#25	['A. A checkered intersection with tram tracks', 'B. A public square', 'C. A parking lot entrance', 'D. Not visible in the image']	A				
26	54230380799_f52e071877_o.jpg	What is in front of the black cars?	SR	Os	"[{""bbox_2d"": [206, 1951, 1675, 2240],""label"": ""in front of the black cars""}]"	#26	['A. Not visible in the image', 'B. A checkered intersection with tram tracks', 'C. A public square', 'D. A parking lot entrance']	B				
27	54230380799_f52e071877_o.jpg	What is in front of the black cars?	SR	Os	"[{""bbox_2d"": [206, 1951, 1675, 2240],""label"": ""in front of the black cars""}]"	#27	['A. A parking lot entrance', 'B. Not visible in the image', 'C. A checkered intersection with tram tracks', 'D. A public square']	C				
28	54230380799_f52e071877_o.jpg	What is in front of the black cars?	SR	Os	"[{""bbox_2d"": [206, 1951, 1675, 2240],""label"": ""in front of the black cars""}]"	#28	['A. A public square', 'B. A parking lot entrance', 'C. Not visible in the image', 'D. A checkered intersection with tram tracks']	D				
29	54329553125_07b0e13f1d_o.jpg	Where is the man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag, in relation to the white car?	SR	Os	"[{""bbox_2d"": [829, 2098, 1115, 2521],""label"": ""man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag""},{""bbox_2d"": [6688, 2063, 7116, 2424],""label"": ""white car""}]"	#29	['A. He is behind the white car', 'B. He is in front of the white car', 'C. He is far from the white car', 'D. He is next to the white car']	A				
30	54329553125_07b0e13f1d_o.jpg	Where is the man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag, in relation to the white car?	SR	Os	"[{""bbox_2d"": [829, 2098, 1115, 2521],""label"": ""man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag""},{""bbox_2d"": [6688, 2063, 7116, 2424],""label"": ""white car""}]"	#30	['A. He is next to the white car', 'B. He is behind the white car', 'C. He is in front of the white car', 'D. He is far from the white car']	B				
31	54329553125_07b0e13f1d_o.jpg	Where is the man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag, in relation to the white car?	SR	Os	"[{""bbox_2d"": [829, 2098, 1115, 2521],""label"": ""man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag""},{""bbox_2d"": [6688, 2063, 7116, 2424],""label"": ""white car""}]"	#31	['A. He is far from the white car', 'B. He is next to the white car', 'C. He is behind the white car', 'D. He is in front of the white car']	C				
32	54329553125_07b0e13f1d_o.jpg	Where is the man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag, in relation to the white car?	SR	Os	"[{""bbox_2d"": [829, 2098, 1115, 2521],""label"": ""man in a dark hoodie and blue jeans, who is on the phone and carrying a big blue bag""},{""bbox_2d"": [6688, 2063, 7116, 2424],""label"": ""white car""}]"	#32	['A. He is in front of the white car', 'B. He is far from the white car', 'C. He is next to the white car', 'D. He is behind the white car']	D				
